date,site,temp,latitude,longitude,tidal
4/16/2008,1,12.5525,41.186433,-73.342933,N
4/17/2008,1,12.23625,41.186433,-73.342933,N
4/18/2008,1,13.59083333,41.186433,-73.342933,N
4/19/2008,1,15.12791667,41.186433,-73.342933,N
4/20/2008,1,14.99583333,41.186433,-73.342933,N
4/21/2008,1,14.78708333,41.186433,-73.342933,N
4/22/2008,1,15.36583333,41.186433,-73.342933,N
4/23/2008,1,16.25,41.186433,-73.342933,N
4/24/2008,1,17.38125,41.186433,-73.342933,N
4/25/2008,1,16.825,41.186433,-73.342933,N
4/26/2008,1,16.39625,41.186433,-73.342933,N
4/27/2008,1,15.02666667,41.186433,-73.342933,N
4/28/2008,1,13.35166667,41.186433,-73.342933,N
4/29/2008,1,12.54458333,41.186433,-73.342933,N
4/30/2008,1,11.63833333,41.186433,-73.342933,N
5/1/2008,1,11.87583333,41.186433,-73.342933,N
5/2/2008,1,12.23041667,41.186433,-73.342933,N
5/3/2008,1,11.72875,41.186433,-73.342933,N
5/4/2008,1,12.32333333,41.186433,-73.342933,N
5/5/2008,1,13.86208333,41.186433,-73.342933,N
5/6/2008,1,14.95958333,41.186433,-73.342933,N
5/7/2008,1,15.89583333,41.186433,-73.342933,N
5/8/2008,1,16.41083333,41.186433,-73.342933,N
5/9/2008,1,15.17291667,41.186433,-73.342933,N
5/10/2008,1,13.24958333,41.186433,-73.342933,N
5/11/2008,1,13.62541667,41.186433,-73.342933,N
5/12/2008,1,12.61333333,41.186433,-73.342933,N
5/13/2008,1,12.3875,41.186433,-73.342933,N
5/14/2008,1,13.56625,41.186433,-73.342933,N
5/15/2008,1,14.78166667,41.186433,-73.342933,N
5/16/2008,1,14.62916667,41.186433,-73.342933,N
5/17/2008,1,NA,41.186433,-73.342933,N
5/18/2008,1,NA,41.186433,-73.342933,N
5/19/2008,1,NA,41.186433,-73.342933,N
5/20/2008,1,NA,41.186433,-73.342933,N
5/21/2008,1,NA,41.186433,-73.342933,N
5/22/2008,1,12.60666667,41.186433,-73.342933,N
5/23/2008,1,13.09791667,41.186433,-73.342933,N
5/24/2008,1,14.04083333,41.186433,-73.342933,N
5/25/2008,1,14.93916667,41.186433,-73.342933,N
5/26/2008,1,16.05833333,41.186433,-73.342933,N
5/27/2008,1,17.83291667,41.186433,-73.342933,N
5/28/2008,1,17.19041667,41.186433,-73.342933,N
5/29/2008,1,16.43625,41.186433,-73.342933,N
5/30/2008,1,16.89833333,41.186433,-73.342933,N
5/31/2008,1,17.96791667,41.186433,-73.342933,N
6/1/2008,1,18.54875,41.186433,-73.342933,N
6/2/2008,1,18.76833333,41.186433,-73.342933,N
6/3/2008,1,19.06375,41.186433,-73.342933,N
6/4/2008,1,18.65916667,41.186433,-73.342933,N
6/5/2008,1,18.10375,41.186433,-73.342933,N
6/6/2008,1,17.75708333,41.186433,-73.342933,N
6/7/2008,1,18.71208333,41.186433,-73.342933,N
6/8/2008,1,21.13583333,41.186433,-73.342933,N
6/9/2008,1,22.80208333,41.186433,-73.342933,N
6/10/2008,1,24.31125,41.186433,-73.342933,N
6/11/2008,1,24.18041667,41.186433,-73.342933,N
6/12/2008,1,23.1725,41.186433,-73.342933,N
6/13/2008,1,21.69666667,41.186433,-73.342933,N
6/14/2008,1,21.25833333,41.186433,-73.342933,N
6/15/2008,1,22.16333333,41.186433,-73.342933,N
6/16/2008,1,20.83041667,41.186433,-73.342933,N
6/17/2008,1,19.96166667,41.186433,-73.342933,N
6/18/2008,1,19.22333333,41.186433,-73.342933,N
6/19/2008,1,18.83041667,41.186433,-73.342933,N
6/20/2008,1,19.26333333,41.186433,-73.342933,N
6/21/2008,1,19.98958333,41.186433,-73.342933,N
6/22/2008,1,20.63708333,41.186433,-73.342933,N
6/23/2008,1,20.9325,41.186433,-73.342933,N
6/24/2008,1,21.20541667,41.186433,-73.342933,N
6/25/2008,1,21.10416667,41.186433,-73.342933,N
6/26/2008,1,21.19,41.186433,-73.342933,N
6/27/2008,1,20.93416667,41.186433,-73.342933,N
6/28/2008,1,21.66708333,41.186433,-73.342933,N
6/29/2008,1,22.88041667,41.186433,-73.342933,N
6/30/2008,1,23.24458333,41.186433,-73.342933,N
7/1/2008,1,23.4075,41.186433,-73.342933,N
7/2/2008,1,23.28,41.186433,-73.342933,N
7/3/2008,1,23.07125,41.186433,-73.342933,N
7/4/2008,1,23.21791667,41.186433,-73.342933,N
7/5/2008,1,22.39458333,41.186433,-73.342933,N
7/6/2008,1,20.92916667,41.186433,-73.342933,N
7/7/2008,1,21.0325,41.186433,-73.342933,N
7/8/2008,1,22.645,41.186433,-73.342933,N
7/9/2008,1,23.55041667,41.186433,-73.342933,N
7/10/2008,1,23.80916667,41.186433,-73.342933,N
7/11/2008,1,22.95416667,41.186433,-73.342933,N
7/12/2008,1,23.06375,41.186433,-73.342933,N
7/13/2008,1,23.61208333,41.186433,-73.342933,N
7/14/2008,1,23.80041667,41.186433,-73.342933,N
7/15/2008,1,19.09041667,41.186433,-73.342933,N
7/16/2008,1,17.57791667,41.186433,-73.342933,N
7/17/2008,1,16.45958333,41.186433,-73.342933,N
7/18/2008,1,17.00875,41.186433,-73.342933,N
7/19/2008,1,18.82458333,41.186433,-73.342933,N
7/20/2008,1,21.16541667,41.186433,-73.342933,N
7/21/2008,1,22.87625,41.186433,-73.342933,N
7/22/2008,1,23.46541667,41.186433,-73.342933,N
7/23/2008,1,23.09125,41.186433,-73.342933,N
7/24/2008,1,21.69125,41.186433,-73.342933,N
7/25/2008,1,20.33416667,41.186433,-73.342933,N
7/26/2008,1,20.81583333,41.186433,-73.342933,N
7/27/2008,1,21.24041667,41.186433,-73.342933,N
7/28/2008,1,21.52,41.186433,-73.342933,N
7/29/2008,1,22.44,41.186433,-73.342933,N
7/30/2008,1,22.83375,41.186433,-73.342933,N
7/31/2008,1,23.61791667,41.186433,-73.342933,N
8/1/2008,1,23.50791667,41.186433,-73.342933,N
8/2/2008,1,22.93833333,41.186433,-73.342933,N
8/3/2008,1,21.915,41.186433,-73.342933,N
8/4/2008,1,21.78416667,41.186433,-73.342933,N
8/5/2008,1,22.16166667,41.186433,-73.342933,N
8/6/2008,1,23.2075,41.186433,-73.342933,N
8/7/2008,1,23.2675,41.186433,-73.342933,N
8/8/2008,1,19.28541667,41.186433,-73.342933,N
8/9/2008,1,19.5825,41.186433,-73.342933,N
8/10/2008,1,20.16958333,41.186433,-73.342933,N
8/11/2008,1,20.10416667,41.186433,-73.342933,N
8/12/2008,1,20.06208333,41.186433,-73.342933,N
8/13/2008,1,20.265,41.186433,-73.342933,N
8/14/2008,1,21.20708333,41.186433,-73.342933,N
